FIPS,State,County, Food Insecure %,Limited Healthy Food Access %,Diabetes %,Obesity %,Smoking %,Uninsured %,Free/Reduced Lunch %,Median Household Income,Food Insecure Score,Access Gap Score,Diabetes Score,Obesity Score,Smoking Score,Uninsured Score,Lunch Need Score,Income Need Score,Food Need Score,Health Risk Score,Final Priority Score
27067,Minnesota,Kandiyohi,10,13.2,9.5,36.6,14.4,7.5,59.81,"69,160",41.24,48.83,38.71,50.83,30.99,41.52,68.95,80.09,56.12,40.18,49.75
27069,Minnesota,Kittson,9.8,8.1,9.1,39.3,17,5.21,45.42,"72,224",39.18,28.84,32.26,65.75,46.2,16.02,44.07,76.02,40.83,48.07,43.72
27071,Minnesota,Koochiching,12.3,13.87,9.3,36.9,18.4,7.04,46.46,"64,009",64.95,51.45,35.48,52.49,54.39,36.44,45.86,86.94,57.13,47.45,53.26
27073,Minnesota,Lac qui Parle,9.8,3.4,8.8,35.1,15.6,6.24,50.17,"67,947",39.18,10.42,27.42,42.54,38.01,27.47,52.28,81.7,42.21,35.99,39.72
27075,Minnesota,Lake,11,3.48,8.7,34.7,14.9,6.98,38.72,"71,573",51.55,10.72,25.81,40.33,33.92,35.73,32.46,76.89,41.47,33.35,38.22
27077,Minnesota,Lake of the Woods,10.3,8.73,9.3,38.3,16.6,5.99,42.83,"65,778",44.33,31.31,35.48,60.22,43.86,24.72,39.57,84.59,44.9,46.52,45.55
27079,Minnesota,Le Sueur,8.7,1.48,9.4,38.7,19.5,5.48,41.26,"78,885",27.84,2.89,37.1,62.43,60.82,19.01,36.86,67.17,30.75,53.45,39.83
27081,Minnesota,Lincoln,9.8,2.93,9.2,38.2,17.6,6.51,39.71,"65,021",39.18,8.56,33.87,59.67,49.71,30.51,34.17,85.59,39.6,47.75,42.86
27083,Minnesota,Lyon,10.6,14.55,9.4,45.5,15.4,6.36,50.64,"69,161",47.42,54.12,37.1,100,36.84,28.79,53.08,80.09,52.7,57.98,54.81
27085,Minnesota,McLeod,9.3,11.93,8.9,40.3,15.2,6.08,41.69,"75,691",34.02,43.84,29.03,71.27,35.67,25.77,37.6,71.41,42.53,45.33,43.65
